route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,zenbus_mission_id,trip_headsign_code
zenbus:Line:507050001:LOC,cal1-89,842310001:0,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:1,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:2,0206,,0,,zenbus:Route:848120004:LOC,,,867500005,2-36503580
zenbus:Line:507050001:LOC,cal1-89,842310001:3,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:4,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:5,0206,,0,,zenbus:Route:848120004:LOC,,,867500005,2-36503580
zenbus:Line:507050001:LOC,cal1-89,842310001:6,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:7,0206,,0,,zenbus:Route:848120004:LOC,,,867500005,2-36503580
zenbus:Line:507050001:LOC,cal1-89,842310001:8,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:9,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:10,0206,,0,,zenbus:Route:848120004:LOC,,,867500005,2-36503580
zenbus:Line:507050001:LOC,cal1-89,842310001:11,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:507050001:LOC,cal1-89,842310001:12,0202,,0,,zenbus:Route:863670001:LOC,,,851960007,3-36372491
zenbus:Line:501420001:LOC,cal1-89,836690009:0,0305,,0,,zenbus:Route:851970002:LOC,,,840640007,2-51642370
zenbus:Line:501420001:LOC,cal1-89,836690009:1,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:2,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:3,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:4,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:5,0305,,0,,zenbus:Route:851970002:LOC,,,840640007,2-51642370
zenbus:Line:501420001:LOC,cal1-89,836690009:6,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:7,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:8,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:9,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:10,0305,,0,,zenbus:Route:851970002:LOC,,,840640007,2-51642370
zenbus:Line:501420001:LOC,cal1-89,836690009:11,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:501420001:LOC,cal1-89,836690009:12,0301,,0,,zenbus:Route:836600003:LOC,,,869590004,3-51773472
zenbus:Line:507050001:LOC,cal1-89,836660008:0,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:507050001:LOC,cal1-89,836660008:1,0203,,1,,zenbus:Route:851980001:LOC,,,857600002,2-36306970
zenbus:Line:507050001:LOC,cal1-89,836660008:2,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:507050001:LOC,cal1-89,836660008:3,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:507050001:LOC,cal1-89,836660008:4,0203,,1,,zenbus:Route:851980001:LOC,,,857600002,2-36306970
zenbus:Line:507050001:LOC,cal1-89,836660008:5,0203,,1,,zenbus:Route:851980001:LOC,,,857600002,2-36306970
zenbus:Line:507050001:LOC,cal1-89,836660008:6,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:507050001:LOC,cal1-89,836660008:7,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:507050001:LOC,cal1-89,836660008:8,0203,,1,,zenbus:Route:851980001:LOC,,,857600002,2-36306970
zenbus:Line:507050001:LOC,cal1-89,836660008:9,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:507050001:LOC,cal1-89,836660008:10,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:507050001:LOC,cal1-89,836660008:11,0201,,1,,zenbus:Route:869590003:LOC,,,867470004,3-36241434
zenbus:Line:511120001:LOC,cal1-89,897040003:0,0122,,0,,zenbus:Route:905070002:LOC,,,905040004,2-84213763
zenbus:Line:511120001:LOC,cal1-89,897040003:1,0122,,0,,zenbus:Route:905070002:LOC,,,905040004,2-84213763
zenbus:Line:481980001:LOC,cal1-89,905090003:0,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:1,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:2,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:3,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:4,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:5,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:6,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:7,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
zenbus:Line:481980001:LOC,cal1-89,905090003:8,0102,,0,,zenbus:Route:910930003:LOC,,,894970002,3-21037067
