service_id,date,exception_type
cal1-89,20230102,1
cal1-89,20230213,1
cal1-89,20230214,1
cal1-89,20230215,1
cal1-89,20230216,1
cal1-89,20230217,1
cal1-89,20230218,1
cal1-89,20230220,1
cal1-89,20230221,1
cal1-89,20230222,1
cal1-89,20230223,1
cal1-89,20230224,1
cal1-89,20230225,1
cal1-89,20230417,1
cal1-89,20230418,1
cal1-89,20230419,1
cal1-89,20230420,1
cal1-89,20230421,1
cal1-89,20230422,1
cal1-89,20230424,1
cal1-89,20230425,1
cal1-89,20230426,1
cal1-89,20230427,1
cal1-89,20230428,1
cal1-89,20230429,1
cal1-89,20230519,1
cal1-89,20230520,1
cal1-89,20230710,1
cal1-89,20230711,1
cal1-89,20230712,1
cal1-89,20230713,1
cal1-89,20230715,1
cal1-89,20230717,1
cal1-89,20230718,1
cal1-89,20230719,1
cal1-89,20230720,1
cal1-89,20230721,1
cal1-89,20230722,1
cal1-89,20230724,1
cal1-89,20230725,1
cal1-89,20230726,1
cal1-89,20230727,1
cal1-89,20230728,1
cal1-89,20230729,1
cal1-89,20230731,1
cal1-89,20230801,1
cal1-89,20230802,1
cal1-89,20230803,1
cal1-89,20230804,1
cal1-89,20230805,1
cal1-89,20230807,1
cal1-89,20230808,1
cal1-89,20230809,1
cal1-89,20230810,1
cal1-89,20230811,1
cal1-89,20230812,1
cal1-89,20230814,1
cal1-89,20230816,1
cal1-89,20230817,1
cal1-89,20230818,1
cal1-89,20230819,1
cal1-89,20230821,1
cal1-89,20230822,1
cal1-89,20230823,1
cal1-89,20230824,1
cal1-89,20230825,1
cal1-89,20230826,1
cal1-89,20230828,1
cal1-89,20230829,1
cal1-89,20230830,1
cal1-89,20230831,1
cal1-89,20230901,1
cal1-89,20230902,1
cal1-89,20231023,1
cal1-89,20231024,1
cal1-89,20231025,1
cal1-89,20231026,1
cal1-89,20231027,1
cal1-89,20231028,1
cal1-89,20231030,1
cal1-89,20231031,1
cal1-89,20231102,1
cal1-89,20231103,1
cal1-89,20231104,1
cal1-89,20231226,1
cal1-89,20231227,1
