stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
zenbus:StopPoint:SP:514930002:LOC,VDUEU2,Europe,,49.143245,5.409141,,,0,zenbus:StopArea:SA:514930001:LOC,,0,,
zenbus:StopPoint:SP:379810006:LOC,VDUMT2,Avenue de Metz,,49.145637,5.408957,,,0,zenbus:StopArea:SA:495440002:LOC,,0,,
zenbus:StopPoint:SP:401850004:LOC,VDUAC2,Actipôle,,49.149646,5.405835,,,0,zenbus:StopArea:SA:379800015:LOC,,0,,
zenbus:StopPoint:SP:401890002:LOC,VDUMC2,Michelet,,49.151657,5.405055,,,0,zenbus:StopArea:SA:483010001:LOC,,0,,
zenbus:StopPoint:SP:387710006:LOC,VDUBR2,Barrès,,49.153774,5.40547,,,0,zenbus:StopArea:SA:411330003:LOC,,0,,
zenbus:StopPoint:SP:409500002:LOC,VDURE3,République,,49.159599,5.386045,,,0,zenbus:StopArea:SA:384690001:LOC,,0,,
zenbus:StopPoint:SP:381940002:LOC,VDUCH3,Porte Chaussée,,49.162712,5.386423,,,0,zenbus:StopArea:SA:394260002:LOC,,0,,
zenbus:StopPoint:SP:507070002:LOC,VDUGSN,Gare Multimodale,,49.166896,5.380286,,,0,zenbus:StopArea:SA:507070001:LOC,,0,,
zenbus:StopPoint:SP:412800001:LOC,VDUMR2,Saint-Maur,,49.163276,5.377727,,,0,zenbus:StopArea:SA:658440001:LOC,,0,,
zenbus:StopPoint:SP:400000003:LOC,VDUCA2,Carrel,,49.151378,5.402807,,,0,zenbus:StopArea:SA:409390004:LOC,,0,,
zenbus:StopPoint:SP:398390003:LOC,VDUCC2,Champ Claudine,,49.15184,5.399662,,,0,zenbus:StopArea:SA:399910003:LOC,,0,,
zenbus:StopPoint:SP:374270001:LOC,VDUBE2,Beauguitte,,49.152412,5.396924,,,0,zenbus:StopArea:SA:411320002:LOC,,0,,
zenbus:StopPoint:SP:394370002:LOC,VDUFE2,Jules Ferry,,49.152618,5.394806,,,0,zenbus:StopArea:SA:384670003:LOC,,0,,
zenbus:StopPoint:SP:409510001:LOC,VDUSV2,Saint Victor,,49.153602,5.392238,,,0,zenbus:StopArea:SA:409410003:LOC,,0,,
zenbus:StopPoint:SP:499550003:LOC,VDUCU2,Cumières,,49.162239,5.375793,,,0,zenbus:StopArea:SA:501390005:LOC,,0,,
zenbus:StopPoint:SP:374240002:LOC,VDUCV2,Cité Verte,,49.162231,5.371187,,,0,zenbus:StopArea:SA:526010003:LOC,,0,,
zenbus:StopPoint:SP:392050002:LOC,VDUCM2,Commerces,,49.161621,5.369789,,,0,zenbus:StopArea:SA:519980003:LOC,,0,,
zenbus:StopPoint:SP:411450001:LOC,VDUDD2,DDE,,49.15744,5.367941,,,0,zenbus:StopArea:SA:409420002:LOC,,0,,
zenbus:StopPoint:SP:840630003:LOC,VDUAB2,Aristide Briand,,49.158623,5.364047,,,0,zenbus:StopArea:SA:462100002:LOC,,0,,
zenbus:StopPoint:SP:678900005:LOC,VDUJM2,Jacques Meyer,,49.14661,5.41128,,,0,,,0,,
zenbus:StopPoint:SP:661960006:LOC,VDUDM2,Daniel Mornet,,49.148759,5.407324,,,0,,,0,,
zenbus:StopPoint:SP:378470003:LOC,VDUPC2,Planchettes,,49.152862,5.408608,,,0,zenbus:StopArea:SA:484330002:LOC,,0,,
zenbus:StopPoint:SP:374260001:LOC,VDUCS2,Centre Social,,49.150672,5.409921,,,0,zenbus:StopArea:SA:399950003:LOC,,0,,
zenbus:StopPoint:SP:394340003:LOC,VDUBA3,Bateliers,,49.155181,5.389516,,,0,zenbus:StopArea:SA:398320002:LOC,,0,,
zenbus:StopPoint:SP:381930002:LOC,VDUHV3,Hôtel de Ville,,49.15813,5.387689,,,0,zenbus:StopArea:SA:446730001:LOC,,0,,
zenbus:StopPoint:SP:513020002:LOC,VDUAF2,Alain Fournier,,49.144985,5.39649,,,0,zenbus:StopArea:SA:493930001:LOC,,0,,
zenbus:StopPoint:SP:384770002:LOC,VDUFP2,FPA Kennedy,,49.143707,5.402245,,,0,zenbus:StopArea:SA:409420001:LOC,,0,,
zenbus:StopPoint:SP:513040001:LOC,VDULO2,Lorraine,,49.143016,5.403978,,,0,zenbus:StopArea:SA:486040002:LOC,,0,,
zenbus:StopPoint:SP:668570002:LOC,VDUBO2,Boichut,,49.155559,5.365568,,,0,zenbus:StopArea:SA:493920001:LOC,,0,,
zenbus:StopPoint:SP:379900003:LOC,VDUDU2,Route de Dugny,,49.152267,5.363,,,0,zenbus:StopArea:SA:492460002:LOC,,0,,
zenbus:StopPoint:SP:668140009:LOC,VDUFU2,Fusillés,,49.150365,5.360721,,,0,zenbus:StopArea:SA:539450007:LOC,,0,,
zenbus:StopPoint:SP:660240007:LOC,VDUSS2,Sous Saint-Barthélémy,,49.148075,5.358815,,,0,zenbus:StopArea:SA:668140008:LOC,,0,,
zenbus:StopPoint:SP:396190002:LOC,VDUBS3,Saint-Barthélémy,,49.146495,5.357441,,,0,zenbus:StopArea:SA:378380002:LOC,,0,,
zenbus:StopPoint:SP:384750003:LOC,VDUPA3,Saint-Paul,,49.164058,5.384315,,,0,zenbus:StopArea:SA:384670004:LOC,,0,,
zenbus:StopPoint:SP:658380006:LOC,VDUMR1,Saint-Maur,,49.163089,5.377502,,,0,zenbus:StopArea:SA:658440001:LOC,,0,,
zenbus:StopPoint:SP:509160001:LOC,VDUVT3,La Victoire,,49.16114,5.38454,,,0,zenbus:StopArea:SA:509140002:LOC,,0,,
zenbus:StopPoint:SP:386520002:LOC,VDUCV3,Chevert,,49.159519,5.38665,,,0,zenbus:StopArea:SA:483000001:LOC,,0,,
zenbus:StopPoint:SP:399950008:LOC,VDUBR1,Barrès,,49.153614,5.405002,,,0,zenbus:StopArea:SA:411330003:LOC,,0,,
zenbus:StopPoint:SP:394410002:LOC,VDUMC1,Michelet,,49.151443,5.404942,,,0,zenbus:StopArea:SA:483010001:LOC,,0,,
zenbus:StopPoint:SP:391980007:LOC,VDUAC1,Actipôle,,49.149658,5.40562,,,0,zenbus:StopArea:SA:379800015:LOC,,0,,
zenbus:StopPoint:SP:507080002:LOC,VDUMT1,Avenue de Metz,,49.145721,5.408815,,,0,zenbus:StopArea:SA:495440002:LOC,,0,,
zenbus:StopPoint:SP:509140003:LOC,VDUEU1,Europe,,49.142543,5.409386,,,0,zenbus:StopArea:SA:514930001:LOC,,0,,
zenbus:StopPoint:SP:374150012:LOC,VDUAI1,Saint-Airy,,49.155223,5.39011,,,0,zenbus:StopArea:SA:650670011:LOC,,0,,
zenbus:StopPoint:SP:374210002:LOC,VDUTD3,Tour du Champ,,49.158012,5.391766,,,0,zenbus:StopArea:SA:378360006:LOC,,0,,
zenbus:StopPoint:SP:405570002:LOC,VDUCM1,Commerces,,49.161582,5.369861,,,0,zenbus:StopArea:SA:519980003:LOC,,0,,
zenbus:StopPoint:SP:398400002:LOC,VDUCV1,Cité Verte,,49.162193,5.371163,,,0,zenbus:StopArea:SA:526010003:LOC,,0,,
zenbus:StopPoint:SP:379900001:LOC,VDUCU1,Cumières,,49.162227,5.375863,,,0,zenbus:StopArea:SA:501390005:LOC,,0,,
